t,phi,theta,phi_cmd,theta_cmd
1.000000,-0.000096,0.000151,0.000000,0.000000
1.008000,-0.000039,0.000187,0.000000,0.000000
1.016000,-0.000039,0.000187,0.000000,0.000000
1.024000,-0.000027,0.000225,0.000000,0.000000
1.032000,-0.000027,0.000225,0.000000,0.000000
1.040000,-0.000027,0.000225,0.000000,0.000000
1.048000,-0.000142,0.000177,0.000000,0.000000
1.056000,-0.000142,0.000177,0.000000,0.000000
1.064000,-0.000155,0.000140,0.000000,0.000000
1.072000,-0.000155,0.000140,0.000000,0.000000
1.080000,-0.000155,0.000140,0.000000,0.000000
1.092000,-0.000129,0.000162,0.000000,0.000000
1.100000,-0.000129,0.000162,0.000000,0.000000
1.108000,-0.000150,0.000144,0.000000,0.000000
1.116000,-0.000150,0.000144,0.000000,0.000000
1.124000,-0.000152,0.000115,0.000000,0.000000
1.132000,-0.000152,0.000115,0.000000,0.000000
1.140000,-0.000152,0.000115,0.000000,0.000000
1.148000,-0.000171,0.000097,0.000000,0.000000
1.156000,-0.000171,0.000097,0.000000,0.000000
1.164000,-0.000139,0.000140,0.000000,0.000000
1.172000,-0.000139,0.000140,0.000000,0.000000
1.180000,-0.000139,0.000140,0.000000,0.000000
1.192000,-0.000101,0.000203,0.000000,0.000000
1.200000,-0.000101,0.000203,0.000000,0.000000
1.208000,-0.000063,0.000225,0.000000,0.000000
1.216000,-0.000063,0.000225,0.000000,0.000000
1.224000,-0.000013,0.000224,0.000000,0.000000
1.232000,-0.000013,0.000224,0.000000,0.000000
1.240000,-0.000013,0.000224,0.000000,0.000000
1.248000,-0.000031,0.000150,0.000000,0.000000
1.256000,-0.000031,0.000150,0.000000,0.000000
1.264000,-0.000095,0.000085,0.000000,0.000000
1.272000,-0.000095,0.000085,0.000000,0.000000
1.280000,-0.000095,0.000085,0.000000,0.000000
1.292000,-0.000114,0.000041,0.000000,0.000000
1.300000,-0.000114,0.000041,0.000000,0.000000
1.308000,-0.000123,0.000053,0.000000,0.000000
1.316000,-0.000123,0.000053,0.000000,0.000000
1.324000,-0.000125,0.000061,0.000000,0.000000
1.332000,-0.000125,0.000061,0.000000,0.000000
1.340000,-0.000125,0.000061,0.000000,0.000000
1.348000,-0.000117,0.000109,0.000000,0.000000
1.356000,-0.000117,0.000109,0.000000,0.000000
1.364000,-0.000160,0.000100,0.000000,0.000000
1.372000,-0.000160,0.000100,0.000000,0.000000
1.380000,-0.000160,0.000100,0.000000,0.000000
1.392000,-0.000167,0.000084,0.000000,0.000000
1.400000,-0.000167,0.000084,0.000000,0.000000
1.408000,-0.000134,0.000080,0.000000,0.000000
1.416000,-0.000134,0.000080,0.000000,0.000000
1.424000,-0.000120,0.000082,0.000000,0.000000
1.432000,-0.000120,0.000082,0.000000,0.000000
1.440000,-0.000120,0.000082,0.000000,0.000000
1.448000,-0.000117,0.000024,0.000000,0.000000
1.456000,-0.000117,0.000024,0.000000,0.000000
1.464000,-0.000083,0.000004,0.000000,0.000000
1.472000,-0.000083,0.000004,0.000000,0.000000
1.480000,-0.000083,0.000004,0.000000,0.000000
1.492000,-0.000076,-0.000020,0.000000,0.000000
1.500000,-0.000076,-0.000020,0.000000,0.000000
1.508000,-0.000010,-0.000047,0.000000,0.000000
1.516000,-0.000010,-0.000047,0.000000,0.000000
1.524000,-0.000055,-0.000110,0.000000,0.000000
1.532000,-0.000055,-0.000110,0.000000,0.000000
1.540000,-0.000055,-0.000110,0.000000,0.000000
1.548000,-0.000051,-0.000130,0.000000,0.000000
1.556000,-0.000051,-0.000130,0.000000,0.000000
1.564000,-0.000029,-0.000121,0.000000,0.000000
1.572000,-0.000029,-0.000121,0.000000,0.000000
1.580000,-0.000029,-0.000121,0.000000,0.000000
1.592000,-0.000017,-0.000138,0.000000,0.000000
1.600000,-0.000017,-0.000138,0.000000,0.000000
1.608000,-0.000001,-0.000159,0.000000,0.000000
1.616000,-0.000001,-0.000159,0.000000,0.000000
1.624000,-0.000059,-0.000182,0.000000,0.000000
1.632000,-0.000059,-0.000182,0.000000,0.000000
1.640000,-0.000059,-0.000182,0.000000,0.000000
1.648000,-0.000035,-0.000180,0.000000,0.000000
1.656000,-0.000035,-0.000180,0.000000,0.000000
1.664000,-0.000072,-0.000133,0.000000,0.000000
1.672000,-0.000072,-0.000133,0.000000,0.000000
1.680000,-0.000072,-0.000133,0.000000,0.000000
1.692000,-0.000117,-0.000146,0.000000,0.000000
1.700000,-0.000117,-0.000146,0.000000,0.000000
1.708000,-0.000133,-0.000171,0.000000,0.000000
1.716000,-0.000133,-0.000171,0.000000,0.000000
1.724000,-0.000133,-0.000171,0.000000,0.000000
1.732000,-0.000083,-0.000165,0.000000,0.000000
1.740000,-0.000083,-0.000165,0.000000,0.000000
1.748000,-0.000049,-0.000196,0.000000,0.000000
1.756000,-0.000049,-0.000196,0.000000,0.000000
1.764000,-0.000022,-0.000222,0.000000,0.000000
1.772000,-0.000022,-0.000222,0.000000,0.000000
1.780000,-0.000022,-0.000222,0.000000,0.000000
1.792000,-0.000049,-0.000226,0.000000,0.000000
1.800000,-0.000049,-0.000226,0.000000,0.000000
1.808000,-0.000052,-0.000211,0.000000,0.000000
1.816000,-0.000052,-0.000211,0.000000,0.000000
1.824000,-0.000012,-0.000192,0.000000,0.000000
1.832000,-0.000012,-0.000192,0.000000,0.000000
1.840000,-0.000012,-0.000192,0.000000,0.000000
1.848000,0.000022,-0.000189,0.000000,0.000000
1.856000,0.000022,-0.000189,0.000000,0.000000
1.864000,-0.000001,-0.000170,0.000000,0.000000
1.872000,-0.000001,-0.000170,0.000000,0.000000
1.880000,-0.000001,-0.000170,0.000000,0.000000
1.892000,-0.000090,-0.000150,0.000000,0.000000
1.900000,-0.000090,-0.000150,0.000000,0.000000
1.908000,-0.000145,-0.000131,0.000000,0.000000
1.916000,-0.000145,-0.000131,0.000000,0.000000
1.924000,-0.000146,-0.000138,0.000000,0.000000
1.932000,-0.000146,-0.000138,0.000000,0.000000
1.940000,-0.000146,-0.000138,0.000000,0.000000
1.948000,-0.000101,-0.000162,0.000000,0.000000
1.956000,-0.000101,-0.000162,0.000000,0.000000
1.964000,-0.000101,-0.000162,0.000000,0.000000
1.972000,-0.000108,-0.000145,0.000000,0.000000
1.980000,-0.000108,-0.000145,0.000000,0.000000
1.992000,-0.000062,-0.000083,0.000000,0.000000
2.000000,-0.000062,-0.000083,0.000000,0.000000
2.008000,-0.000048,-0.000090,0.000000,0.000000
2.016000,-0.000048,-0.000090,0.000000,0.000000
2.024000,-0.000026,-0.000091,0.000000,0.000000
2.032000,-0.000026,-0.000091,0.000000,0.000000
2.040000,-0.000026,-0.000091,0.000000,0.000000
2.048000,-0.000058,-0.000078,0.000000,0.000000
2.056000,-0.000058,-0.000078,0.000000,0.000000
2.064000,-0.000082,-0.000096,0.000000,0.000000
2.072000,-0.000082,-0.000096,0.000000,0.000000
2.080000,-0.000082,-0.000096,0.000000,0.000000
2.092000,-0.000045,-0.000109,0.000000,0.000000
2.100000,-0.000045,-0.000109,0.000000,0.000000
2.108000,0.000027,-0.000159,0.000000,0.000000
2.116000,0.000027,-0.000159,0.000000,0.000000
2.124000,0.000035,-0.000130,0.000000,0.000000
2.132000,0.000035,-0.000130,0.000000,0.000000
2.140000,0.000035,-0.000130,0.000000,0.000000
2.148000,0.000040,-0.000146,0.000000,0.000000
2.156000,0.000040,-0.000146,0.000000,0.000000
2.164000,0.000027,-0.000112,0.000000,0.000000
2.172000,0.000027,-0.000112,0.000000,0.000000
2.180000,0.000027,-0.000112,0.000000,0.000000
2.192000,-0.000024,-0.000088,0.000000,0.000000
2.200000,-0.000024,-0.000088,0.000000,0.000000
2.208000,-0.000016,-0.000095,0.000000,0.000000
2.216000,-0.000016,-0.000095,0.000000,0.000000
2.224000,-0.000054,-0.000118,0.000000,0.000000
2.232000,-0.000054,-0.000118,0.000000,0.000000
2.240000,-0.000054,-0.000118,0.000000,0.000000
2.248000,-0.000086,-0.000125,0.000000,0.000000
2.256000,-0.000086,-0.000125,0.000000,0.000000
2.264000,-0.000114,-0.000127,0.000000,0.000000
2.272000,-0.000114,-0.000127,0.000000,0.000000
2.280000,-0.000114,-0.000127,0.000000,0.000000
2.292000,-0.000137,-0.000171,0.000000,0.000000
2.300000,-0.000137,-0.000171,0.000000,0.000000
2.308000,-0.000138,-0.000153,0.000000,0.000000
2.316000,-0.000138,-0.000153,0.000000,0.000000
2.324000,-0.000138,-0.000153,0.000000,0.000000
2.332000,-0.000126,-0.000116,0.000000,0.000000
2.340000,-0.000126,-0.000116,0.000000,0.000000
2.348000,-0.000094,-0.000099,0.000000,0.000000
2.356000,-0.000094,-0.000099,0.000000,0.000000
2.364000,-0.000094,-0.000150,0.000000,0.000000
2.372000,-0.000094,-0.000150,0.000000,0.000000
2.380000,-0.000094,-0.000150,0.000000,0.000000
2.392000,-0.000061,-0.000177,0.000000,0.000000
2.400000,-0.000061,-0.000177,0.000000,0.000000
2.408000,-0.000019,-0.000174,0.000000,0.000000
2.416000,-0.000019,-0.000174,0.000000,0.000000
2.424000,-0.000076,-0.000166,0.000000,0.000000
2.432000,-0.000076,-0.000166,0.000000,0.000000
2.440000,-0.000076,-0.000166,0.000000,0.000000
2.448000,-0.000102,-0.000145,0.000000,0.000000
2.456000,-0.000102,-0.000145,0.000000,0.000000
2.464000,-0.000096,-0.000136,0.000000,0.000000
2.472000,-0.000096,-0.000136,0.000000,0.000000
2.480000,-0.000096,-0.000136,0.000000,0.000000
2.492000,-0.000078,-0.000071,0.000000,0.000000
2.500000,-0.000078,-0.000071,0.000000,0.000000
2.508000,-0.000094,-0.000035,0.000000,0.000000
2.516000,-0.000094,-0.000035,0.000000,0.000000
2.524000,-0.000073,-0.000068,0.000000,0.000000
2.532000,-0.000073,-0.000068,0.000000,0.000000
2.540000,-0.000073,-0.000068,0.000000,0.000000
2.548000,-0.000032,-0.000093,0.000000,0.000000
2.556000,-0.000032,-0.000093,0.000000,0.000000
2.564000,-0.000032,-0.000093,0.000000,0.000000
2.572000,-0.000016,-0.000137,0.000000,0.000000
2.580000,-0.000016,-0.000137,0.000000,0.000000
2.592000,-0.000004,-0.000111,0.000000,0.000000
2.600000,-0.000004,-0.000111,0.000000,0.000000
2.608000,-0.000018,-0.000103,0.000000,0.000000
2.616000,-0.000018,-0.000103,0.000000,0.000000
2.624000,-0.000002,-0.000077,0.000000,0.000000
2.632000,-0.000002,-0.000077,0.000000,0.000000
2.640000,-0.000002,-0.000077,0.000000,0.000000
2.648000,-0.000026,-0.000037,0.000000,0.000000
2.656000,-0.000026,-0.000037,0.000000,0.000000
2.664000,-0.000045,-0.000048,0.000000,0.000000
2.672000,-0.000045,-0.000048,0.000000,0.000000
2.680000,-0.000045,-0.000048,0.000000,0.000000
2.692000,-0.000027,-0.000060,0.000000,0.000000
2.700000,-0.000027,-0.000060,0.000000,0.000000
2.708000,-0.000011,-0.000102,0.000000,0.000000
2.716000,-0.000011,-0.000102,0.000000,0.000000
2.724000,0.000007,-0.000153,0.000000,0.000000
2.732000,0.000007,-0.000153,0.000000,0.000000
2.740000,0.000007,-0.000153,0.000000,0.000000
